Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24271.94042,,,,,,,
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.570573,376.7587142,364.095436,389.4163578,397.9859047,440.3681553,444.9501379,524.8235332,553.3002894,569.2333877,630.4274126,633.6584113,630.320014,620.0565249,617.8899724,
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,2574.051243,2570.529506,2700.114031,2778.093232,2715.327687,2630.623573,2519.96606,2271.0295,1654.537089,1658.310094,1775.899461,1919.211766,2015.013922,2094.478528,2101.945334,2100.572383,2119.325932,1906.08658,1936.599661,2071.905265,2364.194266,2754.413637,3258.475279,3578.872806,3536.798296,3529.053482,3538.715685,3591.027438,3702.59918,3747.56836,3730.169063,3582.647562,
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,2110.633218,2187.642806,2205.052944,2182.631918,2110.441428,2104.308584,2180.372091,2120.422839,2051.24357,2193.263825,1947.883545,1379.816978,1288.258965,1420.573288,1547.954353,1764.699296,1937.290072,1738.16646,1906.717261,2177.896633,2337.942386,2547.377316,2663.140477,2827.455778,3001.408618,3189.395111,3383.893726,3610.727554,3775.380988,3928.338638,4094.358832,4210.082199,4276.92155,4327.644518,4413.561583,4524.990993,4684.967034,
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,42137.51899,41883.14121,43051.22318,44201.72808,44648.38222,43158.00761,43079.8158,42958.89386,42339.33407,41041.86678,40495.69802,38896.62594,37756.4209,36776.51496,35820.93175,35095.99254,34744.39245,35204.98946,35546.64955,35831.62082,35780.51967,35291.71141,34278.6471,32766.05967,32633.82513,32917.64882,34175.26007,37293.28241,38595.72321,40035.48245,40801.54213,41420.84618,42396.3024,45519.49238,47032.86689,48831.92936,49708.40049,48710.66462,43900.9517,41979.8659,39736.35406,38205.77109,38190.58659,39104.30185,40785.04923,41765.92035,42681.60382,
Arab World,ARB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,4087.662614,4591.389054,4822.607438,4628.394879,4997.77183,5280.433793,5252.334225,4632.729169,4197.026275,4115.058965,3907.282227,3963.091925,3825.874834,3926.610368,3899.97358,4256.430096,4207.438929,4330.274796,4353.147504,4381.209482,4367.876696,4461.785468,4548.669234,4681.270169,4667.691009,4816.711852,4792.813428,4720.236277,4865.990157,5204.491528,5378.433997,5594.949987,5711.716803,5899.765368,5783.528205,5917.574308,5986.821219,6154.62659,6240.65287,6285.526673,6364.673045,6438.045263,
United Arab Emirates,ARE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,102479.189,102319.7275,107452.1804,92822.3616,100480.4368,113682.0382,110644.5516,97254.06152,87942.90269,86936.84909,79439.28663,63832.13125,62248.92875,57136.0526,60523.22813,67606.91692,64386.09112,62821.15769,60133.19296,60932.27764,61818.23378,62294.12897,64176.48416,61231.22972,59845.03704,62833.25107,60434.67398,58707.00717,59867.28994,60042.59735,56199.02927,53926.5971,48260.01091,43658.94478,37203.39799,35049.14832,35550.83127,36408.49755,38064.00442,39034.37627,40159.55788,40864.24985,
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5605.191722,5815.233557,5675.060043,5290.766222,5738.59769,6251.32182,6120.712184,6226.997755,6434.953777,6954.764115,7056.848064,7335.759136,7329.921158,7407.366754,7685.857212,7559.143749,7291.840429,7681.017571,7227.564124,7849.36334,8052.689655,7478.130432,6996.962918,7154.411255,7198.719942,6550.150323,6958.75247,7053.985641,6772.223017,6173.684981,5939.756916,6598.722635,7285.429428,7612.681153,7952.711552,7630.022274,7955.127652,8500.940362,8728.947651,8339.894389,8182.686502,7735.493364,6816.734855,7337.792038,7913.743124,8522.522732,9112.113163,9830.68092,10125.12627,9428.502541,10276.2605,10780.01566,10557.88539,10699.19772,10323.20694,10490.01957,10153.99791,
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.936432,1601.593823,949.0332213,886.0327859,956.4708855,1043.543141,1121.881629,1172.136802,1267.575283,1317.741923,1404.321462,1548.075851,1761.888272,2019.984867,2244.220171,2571.985756,2933.833478,3366.162187,3629.157702,3136.811727,3218.381655,3371.672831,3606.480554,3710.575743,3827.343195,3935.288772,3932.554617,
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10613.91154,10630.45365,10661.17354,10644.58107,10282.45659,10619.61365,10500.38584,10199.06015,10352.82276,10442.7265,10000.31107,9711.112717,9779.883487,9884.111866,9614.472672,
